"","uni","metric","metrix","stage","col","metrics","r2","pval"
"283","Tau1.4.1","Tau1",4,4,2,"Tau1.4.1",0.285380402538121,0.00158074480932395
"287","ABQ.4.1","ABQ",8,4,2,"ABQ.4.1",0.284725782815863,0.00162226515808654
"796","Tau1.5.3","Tau1",4,5,4,"Tau1.5.3",0.283514431647147,0.0017017196101469
"724","Tau1.25.2","Tau1",4,25,3,"Tau1.25.2",0.282834437941757,0.00174785433868366
"151","qP.17.0","qP",7,17,1,"qP.17.0",-0.28264972397085,0.00176058097562542
"662","Tau2.18.2","Tau2",5,18,3,"Tau2.18.2",0.282560728422183,0.00176674266502225
"482","Tau2.26.1","Tau2",5,26,2,"Tau2.26.1",0.281841228798819,0.00181728112694106
"436","Tau1.21.1","Tau1",4,21,2,"Tau1.21.1",0.280312210784537,0.00192906165168088
"197","ABQ.22.0","ABQ",8,22,1,"ABQ.22.0",0.279944175050611,0.00195688145394282
"563","Tau2.7.2","Tau2",5,7,3,"Tau2.7.2",0.278069530816055,0.00210430989753374
"85","Tau1.10.0","Tau1",4,10,1,"Tau1.10.0",0.277637699584575,0.00213966456690863
"76","Tau1.9.0","Tau1",4,9,1,"Tau1.9.0",0.276363816731624,0.00224711385481082
"296","ABQ.5.1","ABQ",8,5,2,"ABQ.5.1",0.274748994249346,0.00239032654637353
"71","ABQ.8.0","ABQ",8,8,1,"ABQ.8.0",0.272539088901229,0.00259968232464092
"179","ABQ.20.0","ABQ",8,20,1,"ABQ.20.0",0.272290847783743,0.00262420468567453
"196","qP.22.0","qP",7,22,1,"qP.22.0",-0.271699277888672,0.0026834861565775
"145","Quant.17.0","Quant",1,17,1,"Quant.17.0",-0.269379685504453,0.00292776598234648
"763","qP.1.3","qP",7,1,4,"qP.1.3",0.268896889228686,0.00298106143657045
"529","qP.3.2","qP",7,3,3,"qP.3.2",-0.265882326630037,0.00333405892029558
"175","Tau1.20.0","Tau1",4,20,1,"Tau1.20.0",0.264287029399274,0.00353568485911315
"464","Tau2.24.1","Tau2",5,24,2,"Tau2.24.1",0.263407826184089,0.00365142589439242
"20","Sigma.3.0","Sigma",2,3,1,"Sigma.3.0",-0.261793485239655,0.00387283113618072
"166","Tau1.19.0","Tau1",4,19,1,"Tau1.19.0",0.261735502763507,0.00388100270024838
"575","ABQ.8.2","ABQ",8,8,3,"ABQ.8.2",0.260787470159722,0.00401682150561964
"683","ABQ.20.2","ABQ",8,20,3,"ABQ.20.2",0.260308637093389,0.00408702712813623
"931","Tau1.20.3","Tau1",4,20,4,"Tau1.20.3",0.25814541058138,0.00441809004059721
"644","Tau2.16.2","Tau2",5,16,3,"Tau2.16.2",0.257915574149971,0.00445463771530263
"949","Tau1.22.3","Tau1",4,22,4,"Tau1.22.3",0.255852761387909,0.00479496038423224
"17","ABQ.2.0","ABQ",8,2,1,"ABQ.2.0",0.255443639515863,0.00486515391862884
"635","Tau2.15.2","Tau2",5,15,3,"Tau2.15.2",0.253092554822858,0.00528661191860536
"1003","Tau1.28.3","Tau1",4,28,4,"Tau1.28.3",0.25296582216566,0.00531022807817846
"383","Tau2.15.1","Tau2",5,15,2,"Tau2.15.1",0.25257691530296,0.00538328773584524
"170","ABQ.19.0","ABQ",8,19,1,"ABQ.19.0",0.251683834669988,0.00555446241674677
"332","ABQ.9.1","ABQ",8,9,2,"ABQ.9.1",0.250548056777529,0.00577914940985427
"80","ABQ.9.0","ABQ",8,9,1,"ABQ.9.0",0.249177866256709,0.00606095141666783
"224","ABQ.25.0","ABQ",8,25,1,"ABQ.25.0",0.247822813818365,0.00635159187710037
"491","Tau2.27.1","Tau2",5,27,2,"Tau2.27.1",0.245379401840347,0.00690709560563173
"314","ABQ.7.1","ABQ",8,7,2,"ABQ.7.1",0.245287071104872,0.00692890652269565
"148","Tau1.17.0","Tau1",4,17,1,"Tau1.17.0",0.241481985650305,0.0078825898218769
"275","Tau2.3.1","Tau2",5,3,2,"Tau2.3.1",0.241153988303136,0.00796999099229296
"789","NPQ.4.3","NPQ",6,4,4,"NPQ.4.3",-0.239698923817097,0.00836813555019087
"8","ABQ.1.0","ABQ",8,1,1,"ABQ.1.0",0.238918552103812,0.00858881962664451
"593","ABQ.10.2","ABQ",8,10,3,"ABQ.10.2",0.238869839515437,0.00860276399429376
"905","Tau2.17.3","Tau2",5,17,4,"Tau2.17.3",0.238843450013566,0.00861032654026601
"617","Tau2.13.2","Tau2",5,13,3,"Tau2.13.2",0.237806485871456,0.00891217640164318
