"","Tsize","rep","R2","RMSE","TvsS","BSm","BTm"
"68",20,68,0.0431396137026317,24.611597570874,0.760207161413966,-30.6008232750386,-27.3901491336963
"69",20,69,0.382430319042767,16.85261489461,0.00626786158169848,-41.8296538403373,-11.6140290816174
"70",20,70,0.0908374023385945,22.9894537948586,0.319847312664448,-28.9463005461664,-19.6421364321047
"71",20,71,0.299637530980723,27.776455204563,0.00678455532450942,-28.8836560002124,6.446866785891
"72",20,72,0.161512042321177,19.7513879214553,0.0915402957796305,-33.8434479921162,-16.9797360103172
"73",20,73,0.235441573410801,24.3073996098794,0.0984278459408318,-37.9299177315403,-12.9903188884939
"74",20,74,0.301365185454004,25.7927330470236,0.00369949029546481,-50.1863014333152,-12.3672162082089
"75",20,75,0.171595911115789,20.9097533468325,0.00318516346151692,-36.4007361795111,-11.376897200054
"76",20,76,0.447657651530881,19.4621881526421,0.000585206908717583,-44.3539718107455,-8.27170082737555
"77",20,77,0.36220189293962,24.468974072986,0.000317375260012711,-39.0916920989295,2.96301780965987
"78",20,78,0.134337044139425,27.6121997143773,0.316387804239752,-22.6781445787131,-7.34872608824646
"79",20,79,0.401888570993127,19.9565357282305,0.00163073626840678,-36.67299987744,-5.34258321119764
"80",20,80,0.204709347398724,21.7838039080606,0.00275068298158108,-30.3601794829538,-4.67006290817733
"81",20,81,0.181113837777244,23.5517488631523,0.0655719090497897,-40.9296759115573,-21.5979855883929
"82",20,82,0.444363959112618,23.2516172713065,4.05734198672997e-05,-45.7835787172167,7.15168077304937
"83",20,83,0.145086800625946,22.1529544199127,0.0247368952385123,-27.7973672246501,-5.0358177470373
"84",20,84,0.154653818381984,20.9395612857354,0.0130364605514683,-32.8543778461357,-11.4965863829272
"85",20,85,0.30574712283341,19.272808610803,0.00021612279323446,-41.2323185336014,-6.41251348756413
"86",20,86,0.283182522227888,22.0396804325158,0.000173830102307641,-41.4527161399594,-4.31432131760621
"87",20,87,0.400392698540494,27.0601582984388,0.00437063611973567,-31.6491446424655,8.43555190164002
"88",20,88,0.295350245136136,26.2116938871552,0.00279510051386241,-44.0852392990428,1.57005382258646
"89",20,89,0.0767059140203103,28.5984892104798,0.76312285521352,-26.0875819925646,-22.259293164001
"90",20,90,0.180877381608431,24.0565508939334,0.00503750716767344,-30.4923441989914,1.62133355174378
"91",20,91,0.154079504500493,18.215059550327,0.0553998914067267,-31.2690476195319,-16.4422457923015
"92",20,92,0.416579644164792,23.7247619618001,0.00120652686049507,-44.4634642792191,-9.98320300505616
"93",20,93,0.235536548398991,19.1377171750899,0.00272878881022601,-35.1084092108083,-7.55402528569578
"94",20,94,0.377682289054841,20.0236833207458,0.00398968336021269,-37.5700866825656,-1.97852968372433
"95",20,95,0.254909913152216,21.7523435995501,0.00824375591149218,-41.4877293864085,-11.9038835080965
"96",20,96,0.191713788380522,23.2351184408891,0.0189514395383426,-37.9712572541202,-7.70327928882115
"97",20,97,0.365352799863436,23.8566584312236,0.00812487385893435,-46.5311099232205,-10.1029325129794
